#alpha data1 data2 data3 data4 data5 data6 data7 data8 data9 data10
0.0 0.82354 0.82142 0.82432 0.82266 0.82346 0.8227 0.82326 0.82416 0.82494 0.8239
0.1 0.70172 0.70336 0.70188 0.70006 0.70262 0.70098 0.7017 0.70262 0.7025 0.70192
0.2 0.75332 0.75346 0.75642 0.75334 0.75574 0.75768 0.75524 0.75362 0.75428 0.7556
0.3 0.79274 0.79368 0.79418 0.79324 0.79382 0.79506 0.79312 0.79682 0.79332 0.79328
0.4 0.82092 0.81986 0.82 0.8195 0.8189 0.81938 0.8213 0.8213 0.81848 0.82244
0.5 0.83692 0.8353 0.83646 0.8365 0.83692 0.83552 0.83736 0.83662 0.83544 0.83672
0.6 0.8453 0.84488 0.84432 0.84346 0.84504 0.84428 0.84402 0.84536 0.84534 0.84314
0.7 0.84628 0.84678 0.84458 0.84632 0.84614 0.8485 0.8466 0.8453 0.8455 0.84678
0.8 0.8487 0.84618 0.84496 0.84502 0.84716 0.84596 0.8459 0.8453 0.84722 0.8447
0.9 0.84234 0.84272 0.84252 0.84184 0.84426 0.84292 0.84164 0.84172 0.84204 0.84296
1.0 0.83722 0.8383 0.83776 0.83876 0.83748 0.83646 0.83616 0.83826 0.83844 0.83928
