#n_flows basic alpha=0.6 alpha=0.7 alpha=0.8
20000 0.8234 0.8446 0.8492 0.84815
40000 0.82355 0.845575 0.84475 0.8461
60000 0.821566666667 0.843883333333 0.845816666667 0.846016666667
80000 0.8237 0.8445625 0.847425 0.8457625
100000 0.82307 0.84448 0.84617 0.84526
120000 0.822808333333 0.844733333333 0.845475 0.846158333333
140000 0.824192857143 0.843928571429 0.847435714286 0.845807142857
160000 0.8221 0.8446375 0.84680625 0.8455375
180000 0.822705555556 0.844266666667 0.846811111111 0.845722222222
200000 0.82235 0.843505 0.846185 0.84606
220000 0.822677272727 0.844136363636 0.845931818182 0.846768181818
