#depth alpha=0.5 alpha=0.6 alpha=0.7 alpha=0.8 alpha=0.9 alpha=1.0
1 0.86392 0.86298 0.86474 0.86578 0.86434 0.86342
2 0.961119611196 0.96562 0.967639676397 0.967369673697 0.967219672197 0.96656
3 0.980489609792 0.987659876599 0.990829908299 0.992349846997 0.992479924799 0.990809908099
4 0.986299725995 0.993099861997 0.996419928399 0.9979099791 0.9981299813 0.99741
5 0.987989639689 0.995049900998 0.997969939098 0.999319979599 0.9995499865 0.99934
6 0.98907967239 0.995819832793 0.9987399874 0.9997199916 0.9998899978 0.999799992
7 0.990529621185 0.996489824491 0.999109973299 0.999799992 0.9999699991 0.999919996
8 0.990519810396 0.996649832492 0.999419976799 0.9999499975 0.9999899996 0.99997
9 0.990109505475 0.996979879195 0.999179967199 0.9999499975 1.0 0.9999899999
10 0.990169705091 0.996799839992 0.999549981999 0.999949997 0.9999899997 1.0
