#depth alpha=0.5 alpha=0.6 alpha=0.7 alpha=0.8 alpha=0.9 alpha=1.0
1 0.864664534696 0.864664534696 0.864664534696 0.864664534696 0.864664534696 0.864664534696
2 0.96128196178 0.965567558543 0.967635495861 0.968165749242 0.967640617127 0.966400364246
3 0.980890068986 0.987323931874 0.99086078246 0.992257691361 0.992110539152 0.990883997837
4 0.986402566639 0.992991638134 0.99646000392 0.997936775044 0.998123086317 0.997391087358
5 0.988491248719 0.995030398016 0.99813798246 0.999322395048 0.999562795823 0.999221820957
6 0.989403910264 0.995941718743 0.9987952982 0.999716052079 0.999897355606 0.999760257794
7 0.98983088423 0.996401910037 0.999106566003 0.999854866919 0.999974452945 0.999924266041
8 0.990037434261 0.996651230655 0.999273412342 0.999913988858 0.999992871123 0.99997560538
9 0.990139022866 0.9967920023 0.99937058281 0.999942992229 0.99999769501 0.999992020901
10 0.990189401397 0.996873454218 0.999430463487 0.999958811398 0.999999138075 0.999997357948
