#xor_srcip xor_dstip xor_prot xor_srcport xor_dstport flowcnt pktcnt
80969151 3058237204 23 1482 52473 10 21
3162842356 249731 0 215 44264 2 2
136442 1563826794 23 1708 36595 8 120
3151755907 2921005431 0 1193 6094 4 4
3367116933 1036556366 6 194 19540 3 22
3716061204 1025483089 17 74 22439 1 1
2859210240 3049553796 23 1025 233 4 5
130096038 2725237738 0 2030 1964 4 154
3172975965 3824133197 23 703 33670 4 4
58847135 1191465421 23 281 51319 2 2
3715911599 2076428232 6 620 8324 1 1
2061040342 1899959373 17 252 505 3 3
3559966367 2446257224 17 1946 4353 7 35
2836658092 251518447 0 1021 5570 6 26
2098947047 2041588054 6 474 58239 3 5
11628667 4016846680 0 844 16416 4 5
3443628645 2561998100 17 2018 65447 7 150
3780076470 155706547 0 0 325 2 2
2690991571 130693450 0 216 5091 4 14
2084919079 3274393138 6 197 16741 5 5
187168049 3863847226 0 987 63674 4 33
439629852 173369958 0 1 28036 4 4
2022327267 1913572326 17 837 32742 5 5
2012367239 2501243892 17 10 10128 5 5
0 0 0 0 0 0 0
1984105095 1901910592 17 22 60901 7 7
119090241 2767779527 23 514 60979 2 2
3716061067 1997782712 6 151 24898 3 3
194242819 22377 23 206 34904 2 2
1912365029 1940250633 6 60 1979 1 1
220898087 3875413384 0 164 148 4 8
2882776420 2818791195 0 156 34208 2 2
216295662 1188839892 23 1296 14292 2 2
1912483058 2001574246 6 60 10597 1 1
2823970787 2782701770 23 283 44258 4 68
216505310 1233747159 0 1514 8984 4 8
2894316366 1087117286 0 2 63 2 2
2751871696 1205964512 23 118 12939 2 2
122869900 1191147315 0 1494 20588 2 2
80986327 130721199 0 327 38189 6 6
3616891944 1064534629 6 487 16361 3 58
3640959228 2465288343 17 227 57267 5 34
139029974 96069647 23 946 12098 4 4
81059 1087268508 0 0 15451 2 3
2690910152 4131537459 0 2 154 2 12
3523720503 893007103 17 915 61132 5 5
3644842152 1827629222 6 575 10972 7 7
2805271827 148774486 0 764 54200 4 4
2812612708 1190906368 23 332 14503 4 52
1912519204 1956340258 17 214 40894 3 3
0 0 0 0 0 0 0
0 0 0 0 0 0 0
209506895 4012768225 23 219 10578 2 2
2774754904 189152136 0 265 20361 2 2
95733 96187521 0 1921 15099 2 3
73562442 3910341899 0 78 56981 6 114
102324 1246957861 0 598 13043 2 2
2885063949 1257226949 0 1221 62141 4 5
1991025740 3456695576 17 63 29853 5 5
3420450031 3524339213 6 60 1328 1 1
0 0 0 0 0 0 0
216481066 1190991566 0 126 55059 4 45
2690925319 44527 0 124 32268 4 4
2124470582 2108604817 6 1129 40575 3 5
3155746038 1183150653 0 1719 27584 4 276
2822931046 2934168320 0 1430 15975 4 9
2034923046 1932517769 6 224 8413 5 67
3607776648 3410764629 17 586 30540 3 3
2964735953 3783684255 0 1509 12617 4 22
3716103873 2080917550 6 60 9490 1 5
217819 130618876 23 875 25346 2 2
3716012972 1005283382 17 322 20440 5 33
3172818282 2694183470 0 2 452 2 2
3181141612 4134812160 0 458 41663 4 4
130023863 491683 23 126 27023 2 3
3559881801 747868781 6 1146 29619 3 18
2917056415 3901221998 0 169 56953 4 4
0 0 0 0 0 0 0
3091892193 82766602 0 1665 14755 4 5
3741197446 3711896485 6 150 2664 7 88
3716149033 2080917645 6 60 13784 1 1
1882278723 2063581199 6 1834 29134 7 10
2065353506 2081031482 17 60 29127 1 1
3743140740 3494860116 17 71 53001 5 7
2860743995 2868693481 0 558 5493 4 4
1929513399 2432422074 17 1231 59438 5 19
2690979936 3062801433 0 202 1047 2 2
1977165098 1935211062 6 58 55703 5 5
1866256962 869907410 17 1722 47783 5 8
3588295121 2145153672 6 242 19160 3 5
3741174407 3565650537 17 1432 12733 3 3
3435317358 2487071262 6 44 199 5 8
3417869783 3679577819 6 234 80 1 2
3715931550 3413001143 17 366 30059 3 3
2061063946 2057060607 17 794 1840 3 9
3715919267 3679975206 17 62 485 5 5
3492048676 2465270297 6 151 51048 5 5
58947189 130737512 0 137 36046 2 2
1043733565 808673758 17 319 31530 7 8
258313823 2914621303 0 446 29557 4 93
3419918584 913962550 6 37 55164 3 3
122716867 4294648599 0 271 15252 4 5
118858 270192323 0 1752 15483 2 2
3516623259 2081125029 17 9 50055 3 3
2087187095 2076500434 6 154 42154 3 6
1989005707 3573125054 17 21 31835 7 7
3741132534 1682964416 6 290 30249 3 3
1983879633 3350017845 17 162 28621 5 5
