#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	50000	82	393321	398028	396114	394839	394070
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	100000	82	1048222	1061565	1063033	1063302	1063311
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	150000	82	1779888	1802453	1807844	1809973	1810817
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	200000	82	2591826	2622917	2630484	2633300	2634218
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	250000	82	3471362	3509736	3518435	3521439	3522369
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	50000	7085	415044	419741	417931	416482	415791
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	100000	7085	1092159	1105604	1107103	1107033	1107099
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	150000	7085	1881971	1904773	1909960	1911836	1912726
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	200000	7085	2709305	2740541	2747994	2750446	2751552
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	250000	7085	3544095	3582863	3591331	3594039	3595195
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
CAIDA	50000	1553	369628	374141	372269	370969	370368
#Trace	n_flows	file_id	n_pkts	n_pkts_d_1	n_pkts_d_2	n_pkts_d_3	n_pkts_d_4
