#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.0	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.0	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.0	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.0	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.05	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.05	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.05	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.05	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.1	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.1	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.1	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.1	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.15	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.15	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.15	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.15	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.2	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.2	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.2	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.2	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.25	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.25	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.25	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.25	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.5	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.5	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.5	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	0.5	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	1.0	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	1.0	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	1.0	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	1.0	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	2.0	5	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	2.0	10	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	2.0	15	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	10000	2.0	20	0.0	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.0	5	0.00089995500225	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.0	10	0.00089995500225	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.0	15	0.00089995500225	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.0	20	0.00089995500225	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.05	5	0.000877932293861	1.0	4.83442107808e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.05	10	0.000877932293861	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.05	15	0.000877932293861	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.05	20	0.000877932293861	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.1	5	0.00103224005466	1.0	4.93513818387e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.1	10	0.00103224005466	1.0	1.4806917792e-05
