n_pkts	HashFlow	DHashFlow	CHashFlow
500000	0.00153	1e-05	1e-05
700000	0.00504	5.28571428571e-05	5.28571428571e-05
900000	0.00934555555556	0.00019	0.00019
1100000	0.01401	0.00049	0.00049
1300000	0.0193669230769	0.00108076923077	0.00108076923077
1500000	0.0240166666667	0.001986	0.001986
1700000	0.0281364705882	0.00298882352941	0.00298882352941
1900000	0.03208	0.00423526315789	0.00423526315789
2100000	0.03569	0.00565476190476	0.00565476190476
2300000	0.0391113043478	0.00709652173913	0.00709652173913
2500000	0.0421452	0.0085644	0.0085644
