n_pkts	CAIDA-AHashFlow	HGC-AHashFlow	CAIDA-CHashFlow	HGC-CHashFlow
500000	0.0482669751953	0.224379499791	0.0123686916918	0.104876917846
1000000	0.173974018652	0.429872632688	0.0736401801724	0.290710968931
1500000	0.289906641101	0.532939146174	0.162613052748	0.404528149842
2000000	0.37023695724	0.598254377042	0.239594832176	0.477724227688
2500000	0.431456461652	0.64516918734	0.303012926087	0.530453978204
3000000	0.479901832655	0.681480914576	0.354209927403	0.571508486068
3500000	0.51974901517	0.710007736825	0.396863952712	0.60427287509
4000000	0.553169744721	0.73387473354	0.433728453067	0.63217184137
4500000	0.581336365373	0.752931458715	0.464468576289	0.65553470869
5000000	0.604952527758	0.76921842448	0.489690531445	0.675642405452
