n_pkts	CAIDA-AHashFlow	CAIDA-CHashFlow	HGC-AHashFlow	HGC-CHashFlow
500000	0.000409554119652	4.64848180584e-05	0.00499406584511	0.000531541585651
1000000	0.00347116736094	0.000519829658166	0.0252790535346	0.00577522401375
1500000	0.00993544743574	0.00192709754845	0.0490392049488	0.0133086200556
2000000	0.0178057567552	0.00454527287697	0.0705472077418	0.0202941735833
2500000	0.026631645188	0.00781967072903	0.0914867727804	0.0255855385743
3000000	0.0358325511813	0.0119964638604	0.114197115008	0.0316192517782
3500000	0.0446101561681	0.0161327948519	0.136418352186	0.0366587629508
4000000	0.0530110848476	0.0196184561803	0.15898115179	0.0411830475745
4500000	0.0614118262368	0.0228495600458	0.179447205313	0.0445886206972
5000000	0.0722804835008	0.0275385649876	0.200634128211	0.0476693374271
5500000	0.082381121032	0.031977291294	0.220127305625	0.0505353586727
6000000	0.0921204802374	0.0356728525177	0.236999518979	0.0528991421421
6500000	0.101457377588	0.0386399521403	0.253739671213	0.0551555925193
7000000	0.111356058254	0.0415275200756	0.270636641451	0.0590253978582
7500000	0.122684211446	0.0451178690025	0.285705680564	0.0623329511202
8000000	0.132410769352	0.0474638480448	0.298681291379	0.0644639747656
8500000	0.141423003402	0.049221056546	0.311281661299	0.0658514658159
9000000	0.150980542203	0.051094221802	0.322553258537	0.0670849720942
