#n_pkts	hh_are	hh_f1score	n_exports
500000	0.00360069570066	0.998518518519	40847
1000000	0.0220826240844	0.991075981642	55810
1500000	0.0477653521368	0.981390334224	67119
2000000	0.0768494431311	0.970368660048	77255
2500000	0.105769977113	0.959328556263	87445
3000000	0.131236522965	0.949115176071	97877
3500000	0.152245735067	0.94074739392	108047
4000000	0.173650790756	0.931620078148	119115
4500000	0.191547964407	0.924050042013	130207
5000000	0.208930477445	0.915996053064	140291
5500000	0.222395057134	0.910161820324	151343
6000000	0.235294164642	0.904580900506	162367
6500000	0.24886271001	0.897779764566	173321
7000000	0.259547977777	0.892529348986	183993
7500000	0.270524941499	0.886779614887	195357
8000000	0.278349294413	0.88315466074	205925
8500000	0.287266279969	0.878302881513	216469
9000000	0.294986245014	0.874111782798	227127
9500000	0.301760643454	0.870709700063	238279
10000000	0.308221320032	0.867049900425	249423
10500000	0.313892727277	0.863950786056	260561
11000000	0.31898409978	0.861122892588	271471
11500000	0.325354656701	0.857323069794	282183
12000000	0.331772241075	0.853520070026	293081
12500000	0.338676106724	0.849141321844	304489
13000000	0.344872789977	0.845210403891	315735
13500000	0.349900977245	0.842218385942	326743
14000000	0.353606454487	0.840033874131	337221
14500000	0.356974294855	0.838142872676	347911
15000000	0.360168171358	0.836289483187	358433
15500000	0.362910149568	0.834848484848	368651
16000000	0.366035179556	0.832981316003	379297
16500000	0.368566286418	0.831412633861	389537
17000000	0.370740376575	0.829994643814	400379
17500000	0.372963133083	0.828681378494	410791
18000000	0.375227777747	0.827162577838	421329
18500000	0.37811137928	0.825182811147	431301
19000000	0.380442517977	0.823675122498	441597
19500000	0.38250673706	0.822419938315	451601
20000000	0.384730455302	0.82108826917	462271
