#n_pkts	hh_are	hh_f1score	n_exports
500000	0.0330629996798	0.985020782684	41794
1000000	0.13500860403	0.934269061496	56986
1500000	0.231374336504	0.880238000218	66508
2000000	0.314927915613	0.827357537942	72956
2500000	0.384958325915	0.77863012985	78016
3000000	0.442738178813	0.735006537763	81836
3500000	0.487675434049	0.698551028979	84954
4000000	0.528668336137	0.663012388195	87836
4500000	0.562185485522	0.632193141193	90262
5000000	0.587836056784	0.607843947597	92292
5500000	0.612543971541	0.5834448924	94242
6000000	0.633950661622	0.561450089354	95898
6500000	0.653079936794	0.541136427838	97534
7000000	0.669599716815	0.523074507135	98996
7500000	0.685327191347	0.505371327623	100386
8000000	0.698837985135	0.489724602712	101614
8500000	0.710890708086	0.475476171479	102676
9000000	0.72141332326	0.46279352626	103762
9500000	0.732104905907	0.449698348021	104764
10000000	0.742071115423	0.437301671652	105802
10500000	0.751341794681	0.425576315482	106710
11000000	0.759744199127	0.414703971221	107542
11500000	0.767402441909	0.404630650496	108322
12000000	0.774532662713	0.395088744083	109090
12500000	0.781256176076	0.385915589243	109900
13000000	0.787637592396	0.377213783497	110594
13500000	0.793461808373	0.36918515654	111292
14000000	0.798847010134	0.361738748593	111958
14500000	0.804099249114	0.35438662093	112598
15000000	0.809093594414	0.347228315426	113148
15500000	0.813647128293	0.340709184858	113674
16000000	0.818087618283	0.334249194491	114200
16500000	0.822080127519	0.328396326313	114710
17000000	0.826112213496	0.32237404361	115288
17500000	0.829928525417	0.316666336496	115796
18000000	0.83385906175	0.310751650961	116226
18500000	0.837413963573	0.305322402957	116646
19000000	0.840957856762	0.299862592827	117052
19500000	0.844279024137	0.294706818985	117498
20000000	0.847533379589	0.289673363416	117934
