#n_pkts	hh_are	hh_f1score	n_exports
500000	0.34480982318	0.826920462271	84622
1000000	0.437643690898	0.774805819932	165023
1500000	0.483717274414	0.74610851453	249292
2000000	0.513482651845	0.725338491296	334681
2500000	0.536783048848	0.708366061708	422449
3000000	0.554948572004	0.693817538491	510201
3500000	0.567301171004	0.683917569577	595002
4000000	0.579766189371	0.672576798457	684066
4500000	0.588949889346	0.664344106792	770945
5000000	0.596154075642	0.657887394677	853148
5500000	0.60239795731	0.652667540385	940944
6000000	0.608826512324	0.647118162541	1029797
6500000	0.613690602651	0.642683544628	1118158
7000000	0.617086358708	0.639666252698	1203845
7500000	0.620496958469	0.636687666723	1293862
8000000	0.624461598474	0.632908395262	1379667
8500000	0.627930355163	0.629531687217	1463762
9000000	0.63045563175	0.627283627377	1549441
9500000	0.632667949663	0.625054875258	1635173
10000000	0.635782999984	0.621954377037	1722146
10500000	0.638012088033	0.620046420771	1811143
11000000	0.640188514629	0.618085975507	1899238
11500000	0.64199291674	0.616407877109	1984567
12000000	0.644094861894	0.614407570661	2071679
12500000	0.645775658697	0.612933671689	2160272
13000000	0.647225059921	0.611694844308	2249691
13500000	0.648996517818	0.609985095847	2334943
14000000	0.650588132113	0.60854186165	2420436
14500000	0.651790232437	0.607478597287	2507852
15000000	0.65328477125	0.606174070659	2593698
15500000	0.654356070258	0.604967503738	2675340
16000000	0.655771793813	0.603635910254	2760064
16500000	0.657141874172	0.602311663657	2840767
17000000	0.658153981103	0.601259689922	2924945
17500000	0.659610512372	0.599805530835	3008301
18000000	0.660905004513	0.598334212365	3092485
18500000	0.662565198692	0.596608095707	3171792
19000000	0.664168012458	0.594843758375	3254039
19500000	0.665750699352	0.593043374203	3335389
20000000	0.667035939129	0.591677158087	3418255
