#fingerprint	count
-995007121	6
-1973890509	8
-570458615	26
-54341490	14
-130382975	7
-1871302939	9
-570100453	30
836849056	7
-1453071964	6010
1590399208	6
-1043291664	12
1105432775	6
-1896384291	8
1248419902	9
383189028	11
-979293132	9
-1016540064	35
-2136180019	96
2091655399	17
-2072888268	13
-890680946	9
-821923053	7
1289018724	47
686761462	6
1202089312	6
685162117	7
-1591288012	19
-2079909973	36
4411550	8
-900698065	9
-1110729784	52
212310463	12
1614607987	8
-252118637	8
1174677610	14
1899447470	6
1236063777	6
-1530062184	14
688186350	46
2141817889	19
-1564245432	17
1789485629	53
-1631446799	8
-747299139	16
1953697263	173
460256594	52
837451293	10
915591762	6
-1493972570	19
515392694	15
1273959846	13
-299499622	121
-323726387	88
1100270446	62
623028994	39
770934707	287
1116483568	25
-368609684	25
657576249	26
1533107960	49
-1251991959	40
-1943886895	36
1666181047	64
-660992888	13
1950552067	49
-1998910281	6
-1706000925	18
-1907796613	8
-1057399148	11
2118164578	73
329070290	8
-971390223	7
682952811	6
-1862986008	210
794882024	6
-795283927	35
1005657335	120
-1642763912	96
1649049405	8
-1585186344	7
-257353432	8
-810243851	65
734036482	6
162195877	26
1479119093	19
-1445515157	23
-1612120943	738
-25298454	9
1415997133	6
2116088422	230
1125224456	11
-2061038722	10
-1649536602	14
857191883	7
982274920	117
815536310	8
-1128696114	11
56835340	14
490470984	10
1114776638	60
-1427011104	26
-1458392940	8
647999728	8
1696828777	9178
-832023601	54
-1670969321	6
1445155997	8
1828959017	46
609841698	8
-1234156931	8
2024820848	23
-966076869	8
1036937798	13
-57207354	7
791901075	20
113633740	8
244845109	8
706515017	6
25365775	9
68278168	11
-1972526583	52
-1460381105	7
1982592422	105
-890937601	21
1597513923	7
-838837573	11
893708840	32
-727290647	95
-1552116636	14
673716680	9
1765964475	6
328130281	29
-1431687702	8
-558871597	275
-1785331890	10
-510767589	9
391715949	31
-741945670	8
-1210492305	14
-1198087211	429
890823066	8
-2021292914	10
-448290433	22
216841446	14
-1353603954	688
1497254955	610
-1834614266	25
-1821826125	149
-1632399889	9
788951021	183
-1550222282	7
1395095050	8
426019203	8
1368803353	10
-404674866	8
-1022955415	23
-41872021	10
992089705	17
845321632	15
31008935	70
155455519	10
588107118	8
-1230093246	10
682005607	11
510017983	9
1556867239	45
2064509234	19
829603230	9
-821952648	8
1752177877	10
-1877792116	16
1867229596	8
219924757	7
-289052607	44
-1177421175	12
-819958439	7
-1761286768	11
719153177	13
454416108	639
1539650421	6
-807787500	8
-731996292	529
-1195725971	14
-435422933	7
-2043152321	7
-1486258226	56
-179775067	14
-5086718	16
557370350	12
17352553	7
-976441044	7
-609487954	8
-376383422	85
1881821475	10
-440892749	54
-1697955757	8
-522042309	7
-1268020741	236
-587275262	41
1889024410	14
-507998529	7
-350310026	12
-2042841541	59
-149312478	7
1362910805	8
-760377742	423
-653466091	12
-1896700533	10
-337995126	12
578994433	8
1893354254	10
-208886170	415
1776263137	20
1973609896	11
92773450	10
-1536126919	563
24539731	11
1052577317	11
-1010234697	8
1820490577	15
-1122061748	52
-15473256	63
-1622791999	11
-909788397	6
2108771337	15
-422273223	31
770836197	9
417508208	23
-919598157	86
-682301392	10
-1687897015	13
1965708701	36
-680853058	6
-72347882	8
-284217085	6
-439335488	92
-1130326629	72
1759861068	7
2045129201	30
-1422183209	10
-306007051	22
-1543369331	10
-1960810693	155
-1484291742	195
-587911796	66
1384043193	9
1536215580	9
-183145607	9
-1149121533	8
-1250528155	7
555444764	14
-355273654	14
165721737	27
-756646808	7
1825935011	15
-1296161812	23
745727263	6
-1014241158	9
200453552	10
-415850549	12
-1893133979	7
-978700099	99
272598408	37
-967506035	51
-360271190	64
1766847078	13
-1579904319	6
2107512926	103
-774083565	7
-389796628	7
-1423775642	9
590394281	8
1065078114	29
-1916598160	63
-988870312	36
1404268029	11
-1450936185	8
-1258731100	10
-1990716798	846
-589181529	1581
1320087960	11
420732521	6
1465917930	6
-742454326	15
-1409880567	9
-259456831	14
-1841604179	145
-508580364	8
710438658	9
-542311562	7
1202891465	6
1452607843	7
-746711401	31
912773567	24
2111831233	20
509484747	10
1911721020	31
295730389	9
-1077855040	11379
-1559331036	19
-629293061	25
-2121589319	256
1825190804	331
-1031390578	6
750517076	65
-1130307796	7
2020469373	17
934444051	10
-1712024826	11
654752506	11
1324530699	66
-1835122779	25
1902247639	8
-470155951	13
839781311	16
-1058668321	39
-293219168	13
-1985491213	9
1698433205	53
722547040	8
12448222	8
-540008656	8
1790824193	25
1264905955	113
1665476206	8
965672284	10
-1980715009	9
-854962050	83
-2017249965	8
-809775024	10
1207830179	9
-1905156856	6
2010697793	8
-1389195768	12
-58433326	13
-1179007471	6
-835142197	9
-1660542378	14
-1382212016	6
-2076627691	10
-378209600	19
337067891	11
-1983580061	8
-1666716875	16
2035520686	116
-220279989	15
1447685276	14
-1855840438	49
2014928156	120
-1238098959	7
1171293663	14
357545681	10
2088933850	43
-188798975	11
1303282262	37
-197510339	8
-666024510	6
-796912873	15
45591673	435
1285023293	7
1288598524	727
-1377964648	48
810242867	9
-1165035421	9
1910598180	10
1487832678	8
1515303124	18
-1844712937	23
-259999925	25
-1665190991	14
-1293256915	10
698873522	10
-527508126	9
1403630951	8
954683424	92
-1441232998	7
1255002492	71
-154109887	74
-838495759	13
1887909674	12
-1149209979	1014
840246977	55
-942820966	11
1638937684	104
663840319	10
-1900826758	8
710849283	7
-926038536	11
1277345788	12
1367000247	8
1711791899	8
-1292747288	32
-1742384038	11
-1707023598	7
280364036	20
-456699130	252
397512939	35
1578118743	9
-761693330	9
258417746	9
-1335036101	10
-1864282667	6
-1305960155	11
-1005873435	13
-1575966901	8
-724886966	13
2074941156	11
-1021598183	37
1417531389	10
-1579352765	9
1162926993	6
-946206615	11
-21901040	13
2117062684	6
1048325499	9
-222047811	12
1357233604	9
-1068077967	25
472129252	25
-1795540919	6
-1505695673	7
1286471121	15
1829878956	30
1642197847	10
-666971137	30
909661149	45
1190637532	7
-1610443383	8
1391887928	9
1150082807	11
-1989798762	6
-1974640447	8
1716161268	11
402143376	7
-552232444	104
-256214768	72
1734930395	20
2093083787	13
-1015876987	7
1381121462	134
-557065754	9
333709131	156
-292402169	7
609265515	8
-1455297053	11
2097399666	69
-2104579289	37
1723653060	13
943894782	11
908438307	9
2095901343	8
-730556486	17
1331065770	14
1558353990	24
-1734388321	14
-2025869095	10
-2086821210	190
-845897804	40
-1973639944	12
-1937386587	11
-436962907	63
-1238305501	13
-369507115	134
-1378158773	25
-1138034403	8
-1135152490	53
2092654573	75
1013041128	8
-1413867084	7
-199586787	6
785559707	7
1535464749	12
-581494485	80
2043230776	14
-150392529	6
-1690270873	97
-1761805326	10
-2012152738	8
939749198	10
-1005377147	182
-901808965	16
-947276734	31
-540277691	8
-465579750	13
-888736950	37
-1228976733	10
-441097494	6
-892073649	18
975842535	81
411634769	9
-1326598075	13
1961460927	12
1103999120	24
-1276929864	19
-364103471	12
-107694435	6
395622794	9
-2071438763	73
1974125222	75
-79486874	23
2041974065	7
-191704487	144
47142133	7
846226473	8
-1024186729	137
-1196130024	6
1793903527	14
1381416336	45
1398340702	8
12751727	9
-219700076	10
-1064199738	10
972037624	39
105869767	122
1186987461	9
1231637690	8
264961449	13
-665707324	20
-1116021146	1831
1168787337	62
871466863	23
-643434192	18
1245692619	8
193706772	6
1221663846	9
-481855816	8
11227370	59
30306661	14
1398989116	43
-923619502	8
-731506307	35
1075155235	7
-1354818358	18
-1244962100	45
1359086369	12
1264646655	8
699569728	49
463903043	14
1040849670	10
39060163	9
766781591	66
-1915353290	56
-1790986010	7
1500659618	79
-766575781	12
825707983	68
-2138340384	7
-1068695144	24
1212301145	76
1349504300	42
-1090344776	14
442634141	215
1438655976	15
-1797052837	89
-118023045	138
-2033347093	3138
43985703	108
-1966146870	26
-1797978780	9
1190310931	91
-2091646258	9
1419356639	13
-330241833	25
-845631753	16
1954914697	177
-742545772	9
358735562	14
805832997	41
-395453924	1843
1481746485	20
-458872717	10
-1415085840	26
-1726944092	662
633540401	6
-1501990877	10
-1518872062	7
-560205444	6
765084708	13
623299256	32
-839813434	7
1664126020	9
2069337947	54
2073640785	54
-1422895404	11
-1215628247	9
-1712009638	51
-2024746685	20
1038972411	11
-366199208	13
2102722570	7
1120590351	105
-766860614	27
-204833215	383
1385820710	50
-965268544	12
-1187017379	8
-745582806	8
989896806	6
-1012330396	8
903603384	50
214455380	7
-785861288	8
314466613	14
-532882923	9
-413006596	42
-1481307643	6
-946710695	139
504955995	442
-148990191	24
-1408256723	22
132777274	41
410465020	12
-839914741	12
-719726433	31
1359210111	162
968752914	39
668212611	9
-2082606174	244
-1681157186	978
1294373922	71
-553116750	9
-1315564483	2781
-1486662239	100
-1624617784	7
1079407581	9
2128449752	210
2044603702	25
-1616104544	7
1231480826	14
-161300596	37
291742707	8
1558951694	8
605788500	15
-2122545406	9
-1679965498	12
1549447437	123
-1900143025	8
-1362360420	9
-966503365	20
-169204652	76
454226801	47
1006481108	24
-517371818	9
164965694	52
1188570624	10
849225745	371
-338359581	12
850379484	19
1862768516	160
1377745256	142
1924804225	25
-800872677	16
-1606237572	52
1240517566	17
-1146551478	7
175533004	8
-1329997330	10
-632702390	9
792264606	21
-219538051	10
1703479802	9
-1096460536	10
-763158627	10
634773266	39
50326056	143
1081854428	6
2022586448	68
1384309782	13
1907180703	108
379641889	15
1827775703	36
1222583674	8
-1275334764	208
-1255478284	238
2016792547	6
22835636	7
-2041673566	15
653224837	10
2032371819	7
-752345670	9
896581392	25
966974346	104
-761191237	40
571996655	8
1878231068	32
978836253	33
-1836809234	31
-716674911	56
485345901	10
-607871515	67
1030614348	347
-2115562188	20
1798704307	17
971404980	22
129310146	11
-223432921	11
-1243015176	74
-1628817165	649
1573412	10
-977353002	20
1278863328	9
661794408	66
-359424599	6
400186899	13
1600448515	8
1988030153	31
1290708290	16
1167707075	68
-271579283	7
166241172	7
349182665	8
506876397	75
1190935017	14
-378746794	45
271981071	30
475643548	30
-1945969838	7
14481658	6
-182956118	107
-1813217691	10
1244095677	6
555591959	10
1492809353	26
-500047543	10
61011928	107
964312965	12
-423292246	15
1473785169	28
-1776690123	57
1092282330	6
-40563327	6
-412487284	18
88811763	7
-1616894093	11
-977976958	29
1634473064	24
-1298977927	20
2034677384	10
-1613248582	318
-891573619	20
-97619427	62
-1882052606	11
-1727298112	222
451099978	6
1588199997	8
-12512189	57
196500724	145
-1501335477	43
-1866600698	104
34527645	32
1417455609	35
296334666	39
-1069109955	7
-1385733608	7
1655278336	50
-642711393	8
1035785664	6
940776130	256
-1339006785	14
-675378931	8
-1885530064	13
-1563284110	7
-109221785	807
1574246473	17
-752603982	11
-263882286	8
625119782	55
1654756153	890
-1185498683	6
-337137190	67
